⛔ NO_SHIFTS | tick=e525060c-11da-4de0-934f-f65cc924cc4a | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=3.9ms | ts=2026-04-23T11:06:06.239564+00:00
⛔ NO_SHIFTS | tick=ceef61f1-b659-4495-af97-c81605713df2 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.9ms | ts=2026-04-23T11:08:21.266514+00:00
⛔ NO_SHIFTS | tick=369d857c-bc38-4460-b26f-fc313a863c7e | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.2ms | ts=2026-04-23T11:08:26.268498+00:00
⛔ NO_SHIFTS | tick=fbf4799c-1da3-460d-8473-1d24efb9bc71 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:08:31.272476+00:00
⛔ NO_SHIFTS | tick=28ea4255-6a88-408c-9575-1f0665eb7dde | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:08:36.275463+00:00
⛔ NO_SHIFTS | tick=4b4970e4-fb12-4873-9ccf-6be77853c844 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.4ms | ts=2026-04-23T11:08:41.279153+00:00
⛔ NO_SHIFTS | tick=746a8928-ee0c-4906-a8d1-f43f04f9cd82 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:08:46.277417+00:00
⛔ NO_SHIFTS | tick=ee51ddf8-074d-4395-b747-b6c1025a6039 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:08:51.279099+00:00
⛔ NO_SHIFTS | tick=1d8a4286-4607-4ebd-b608-1d7112c67be3 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:08:56.279927+00:00
⛔ NO_SHIFTS | tick=32767e9f-414b-4eff-bdff-0dc5d1b8bc40 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:09:01.280788+00:00
⛔ NO_SHIFTS | tick=cf20d5aa-82b0-4e75-9f20-7ef01ebc0ced | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:09:06.280696+00:00
⛔ NO_SHIFTS | tick=3ffe360e-e9d7-48e9-8ec0-eeb263cad7a0 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.9ms | ts=2026-04-23T11:09:11.281619+00:00
⛔ NO_SHIFTS | tick=2b7a92d2-9cd6-41a1-93c4-833eedb22ca5 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:09:16.285303+00:00
⛔ NO_SHIFTS | tick=00e0b4a8-0078-47bf-b1b4-ab2a372346af | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:09:21.284778+00:00
⛔ NO_SHIFTS | tick=39962dd0-80ff-44e4-bed6-b8976a11baac | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.7ms | ts=2026-04-23T11:09:26.285254+00:00
⛔ NO_SHIFTS | tick=930a4938-3ac6-4909-994f-e4c63251e009 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.8ms | ts=2026-04-23T11:09:31.286332+00:00
⛔ NO_SHIFTS | tick=8c5dc1d7-6a01-411c-bcd1-16ef3eae31c3 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.7ms | ts=2026-04-23T11:09:36.286858+00:00
⛔ NO_SHIFTS | tick=f4b4fa9e-34e8-4943-90cd-6e71904da60b | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.7ms | ts=2026-04-23T11:09:41.286268+00:00
⛔ NO_SHIFTS | tick=b76bd992-a787-45fd-b0f4-ebf324b807ad | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.2ms | ts=2026-04-23T11:09:46.289146+00:00
⛔ NO_SHIFTS | tick=15d97b81-2a41-46b0-bcad-d41ee2f4c29c | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:09:51.288661+00:00
⛔ NO_SHIFTS | tick=13192d6f-2f51-428c-947c-6f9a84d92e6c | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:09:56.289437+00:00
⛔ NO_SHIFTS | tick=548f2c77-0dc9-4ba1-b32c-2bcdb939eda0 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:10:01.290511+00:00
⛔ NO_SHIFTS | tick=c6193bb1-7422-4fdc-91d2-23aa12cca259 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.8ms | ts=2026-04-23T11:10:06.290183+00:00
⛔ NO_SHIFTS | tick=48ab7aa8-d0c9-4535-9bb2-05d9ddfc82a5 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:10:11.289714+00:00
⛔ NO_SHIFTS | tick=f2a0e6d9-8ea7-4357-9340-74ee0258025b | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.8ms | ts=2026-04-23T11:10:16.289220+00:00
⛔ NO_SHIFTS | tick=2f0e1633-43cc-454d-8eac-bbe05a3a0af6 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.8ms | ts=2026-04-23T11:10:21.291205+00:00
⛔ NO_SHIFTS | tick=4cb09e1b-0490-4300-ba96-9fd75fa10e8c | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:10:26.289985+00:00
⛔ NO_SHIFTS | tick=38ca90fc-cf7c-4e21-865e-ffb05d914822 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:10:31.291454+00:00
⛔ NO_SHIFTS | tick=9cc1faa7-8230-4896-a917-1bd9475bf0db | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:10:36.291509+00:00
⛔ NO_SHIFTS | tick=aabeb95a-d8d1-46e6-b77b-5f68c8f5ca54 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.7ms | ts=2026-04-23T11:10:41.293247+00:00
⛔ NO_SHIFTS | tick=a723e7a5-e0ba-4a1b-878f-92ebf3ffcd2d | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:10:46.294841+00:00
⛔ NO_SHIFTS | tick=0a933ba9-e682-46da-9448-7e0b261bda4f | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:10:51.295039+00:00
⛔ NO_SHIFTS | tick=5bbcb992-babe-42be-9a01-145fcccb147d | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.8ms | ts=2026-04-23T11:10:56.294489+00:00
⛔ NO_SHIFTS | tick=2af43406-a3ce-4cdd-8232-6724e3ddf96b | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.2ms | ts=2026-04-23T11:11:01.295480+00:00
⛔ NO_SHIFTS | tick=ad562c8a-e19f-43dd-8fe2-4ddcb40106ef | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:11:06.296369+00:00
⛔ NO_SHIFTS | tick=05520632-d3fd-476a-b50d-131e4bd9ee76 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.1ms | ts=2026-04-23T11:11:11.299836+00:00
⛔ NO_SHIFTS | tick=8d8e2c5b-9ad0-45cf-b604-f885cc1853ba | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:11:16.299310+00:00
⛔ NO_SHIFTS | tick=f2bb442b-86e0-4936-b78e-d5934e7c8412 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:11:21.301095+00:00
⛔ NO_SHIFTS | tick=58d865b0-87c2-40e2-b303-d5517349ca35 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.7ms | ts=2026-04-23T11:11:26.303570+00:00
⛔ NO_SHIFTS | tick=31faaacf-7698-491b-ad06-7cab050dd24e | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.2ms | ts=2026-04-23T11:11:31.305667+00:00
⛔ NO_SHIFTS | tick=14d855ac-7736-456e-a4ca-715ebee88ecf | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:11:36.304432+00:00
⛔ NO_SHIFTS | tick=ae86b142-f779-4ef3-a8e5-4832ab3923cb | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.8ms | ts=2026-04-23T11:11:41.305795+00:00
⛔ NO_SHIFTS | tick=be8a2950-f8e4-44fb-ad29-fb51aa8e9c15 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:11:46.304678+00:00
⛔ NO_SHIFTS | tick=5a8151cb-5527-40a4-a22b-575a43fee533 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:11:51.306547+00:00
⛔ NO_SHIFTS | tick=72c0bb66-bd11-43dd-a552-58df23d80425 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.2ms | ts=2026-04-23T11:11:56.308217+00:00
⛔ NO_SHIFTS | tick=cbf5429a-b518-44dd-bd8a-2ae19929598b | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.8ms | ts=2026-04-23T11:12:01.307492+00:00
⛔ NO_SHIFTS | tick=8f578091-109d-4140-a94c-e2293c938d68 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:06.313073+00:00
⛔ NO_SHIFTS | tick=282a11cc-6b59-4932-b5c6-fa2484b2f61a | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:11.313868+00:00
⛔ NO_SHIFTS | tick=7dd65b4e-7570-4fa2-92d6-3f6b092ae315 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:16.313923+00:00
⛔ NO_SHIFTS | tick=ff7e73eb-ba28-4c48-a6e5-3291455cd65d | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:21.314772+00:00
⛔ NO_SHIFTS | tick=6f1bf347-c3dc-4687-8f49-758a98db8fee | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.6ms | ts=2026-04-23T11:12:26.318924+00:00
⛔ NO_SHIFTS | tick=1c94863b-21a3-47a8-bf90-d7189c730b5b | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.5ms | ts=2026-04-23T11:12:31.318743+00:00
⛔ NO_SHIFTS | tick=c8ee6fe7-787e-4a45-9b4e-e87ba9c7f3e8 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:36.322404+00:00
⛔ NO_SHIFTS | tick=636fb73f-d968-4aa5-afe2-170f8531cded | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:41.322922+00:00
⛔ NO_SHIFTS | tick=ab47ad50-ddcb-4121-bc6e-78ecd67971a6 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:46.325451+00:00
⛔ NO_SHIFTS | tick=dfea7cce-e303-4c43-bd7d-b1b1cc974678 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:12:51.324991+00:00
⛔ NO_SHIFTS | tick=a5998e9c-e4dc-4094-b797-24c6fb7029b4 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:12:56.330198+00:00
⛔ NO_SHIFTS | tick=10b6704f-643e-41c0-96ff-523028979a5c | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.4ms | ts=2026-04-23T11:13:01.330649+00:00
⛔ NO_SHIFTS | tick=233b7221-a6c9-459a-93f3-1b72c450907d | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:13:06.336080+00:00
⛔ NO_SHIFTS | tick=6c0b1ae3-e7bd-4cef-96a2-e42d4d4edf46 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:13:11.335673+00:00
⛔ NO_SHIFTS | tick=611fd222-b0d3-4c6f-97ba-bef2dac2f040 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:13:16.336475+00:00
⛔ NO_SHIFTS | tick=79d8e58b-ae92-4447-8fc1-50f947e65ec3 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:13:21.343281+00:00
⛔ NO_SHIFTS | tick=9f6e69cd-40ba-4cbb-af37-dd3b18eddd4f | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:13:26.347047+00:00
⛔ NO_SHIFTS | tick=10eabc6f-b97b-4e5b-90b7-b53ef2a64b5b | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:13:31.347061+00:00
⛔ NO_SHIFTS | tick=86a97d66-6291-425e-831d-75455537d270 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:13:36.347960+00:00
⛔ NO_SHIFTS | tick=639948fe-b7f5-4496-ab2e-5703058d08f5 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:13:41.350458+00:00
⛔ NO_SHIFTS | tick=5d3c4135-585b-4744-80d2-35768c7df760 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:13:46.352670+00:00
⛔ NO_SHIFTS | tick=b256c9ac-684a-4403-a19d-96b94fee8cf2 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.2ms | ts=2026-04-23T11:13:51.354391+00:00
⛔ NO_SHIFTS | tick=aa0dcb12-02ed-491b-8ea2-7b0384d0fc54 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.7ms | ts=2026-04-23T11:13:56.353993+00:00
⛔ NO_SHIFTS | tick=23a1f565-0702-45c9-b7ff-9e8e33119e82 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:14:01.355943+00:00
⛔ NO_SHIFTS | tick=85fc54cb-3242-42c0-a479-7f097766cbf4 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:14:06.359534+00:00
⛔ NO_SHIFTS | tick=506c2f5b-2355-4a4e-ae48-c45820e04886 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:14:11.360073+00:00
⛔ NO_SHIFTS | tick=5421b96b-fa4e-459e-ba6f-456536cbb431 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:14:16.361365+00:00
⛔ NO_SHIFTS | tick=37d52228-7a58-4285-bce7-db3df05960a9 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:14:21.364802+00:00
⛔ NO_SHIFTS | tick=a296df0c-def5-4740-8e00-2a4122274bcf | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:14:26.364306+00:00
⛔ NO_SHIFTS | tick=d95caaa9-e120-4be3-9382-b99dad8fbd57 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:14:31.367719+00:00
⛔ NO_SHIFTS | tick=cd032dc7-eef2-4afd-8c89-aa1a38943a7f | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:14:36.368763+00:00
⛔ NO_SHIFTS | tick=c488f3b0-62bc-4de3-bb0a-980adf5c4f97 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.7ms | ts=2026-04-23T11:14:41.368884+00:00
⛔ NO_SHIFTS | tick=cbd694b6-94f1-4c45-b7b2-780abe9037ef | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:14:46.370526+00:00
⛔ NO_SHIFTS | tick=d5434251-2220-4235-b675-330b83289540 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.6ms | ts=2026-04-23T11:14:51.375702+00:00
⛔ NO_SHIFTS | tick=3738d75f-6416-41b8-9ad8-b00e1fe4698b | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.3ms | ts=2026-04-23T11:14:56.380642+00:00
⛔ NO_SHIFTS | tick=8d821297-5c02-4ae2-bc3f-ad2f1b8b0a91 | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:15:01.382246+00:00
⛔ NO_SHIFTS | tick=b49d7d50-e1bc-466c-bb7a-229452da4bcf | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=1.5ms | ts=2026-04-23T11:15:06.384200+00:00
⛔ NO_SHIFTS | tick=92dbe324-6a91-4fa0-aeb6-bdae2b655cbb | shifts=0 | pool=0 | tried=0 | assigned=0 | back=0 | lost=0 | changed=0 | skip=0 | dur=2.2ms | ts=2026-04-23T11:15:11.389330+00:00
